Name,BR ID,Hit streaks (old to new),No hit streaks (old to new),Avg. hit streak-length,Avg. no-hit streak-length,Current hit streak type,Current hit streak,Strikeout streaks (old to new),No strikeout streaks (old to new),Avg. strikeout streak length,Avg. no strikeout streak length,Current strikeout streak type,Current strikeout streak,Exception Message
Garrett Stubbs,stubbga01,"[2, 6, 1, 1, 1, 1, 1, 2, 3, 1]","[1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 4]",1.9,1.7272727272727273,dry streak,4,"[8, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 4, 4, 1, 1, 3, 1, 2]",1.8,1.8181818181818181,no strikeout streak,2,
Robbie Grossman,grossro01,"[3, 1, 14, 3, 6, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 4, 1, 1, 2, 3, 5, 2]","[2, 6, 2, 1, 2, 1, 3, 1, 1, 2, 2, 3, 4, 4, 1, 1, 1, 1, 1, 1, 1, 5, 1, 3]",2.5833333333333335,2.0833333333333335,dry streak,3,"[2, 5, 3, 1, 1, 1, 12, 2, 4, 2, 3, 3, 1, 1, 1, 2, 1, 2, 3, 1, 2, 3, 1, 2, 1, 1, 3]","[2, 1, 2, 1, 1, 1, 1, 2, 5, 1, 2, 3, 1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 3, 2, 2, 2, 3]",2.3703703703703702,1.7777777777777777,no strikeout streak,3,
Billy McKinney,mckinbi01,"[8, 6, 2, 1, 2, 1, 1, 4, 1]","[1, 6, 1, 4, 1, 2, 3, 3, 1]",2.888888888888889,2.4444444444444446,dry streak,1,"[2, 2, 1, 5, 1, 1, 2, 5, 2, 4, 2, 1]","[2, 1, 2, 4, 1, 1, 2, 2, 1, 1, 2, 1]",2.3333333333333335,1.6666666666666667,strikeout streak,1,
Tomas Nido,nidoto01,"[3, 1, 1, 1, 1]","[4, 3, 2, 3, 2, 1]",1.4,2.5,dry streak,1,"[3, 1, 2, 2, 1, 1, 2]","[1, 3, 1, 1, 3, 1]",1.7142857142857142,1.6666666666666667,strikeout streak,2,
Yasmani Grandal,grandya01,"[2, 1, 1, 1, 4, 2, 1, 1, 1, 3, 5, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 4, 2, 2, 1, 1, 3, 2, 2, 2]","[1, 3, 1, 1, 2, 2, 2, 1, 1, 2, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 7, 1, 2, 4, 2, 2, 3, 1, 3, 2]",1.8709677419354838,1.9333333333333333,hit streak,2,"[1, 6, 1, 3, 5, 1, 1, 2, 1, 3, 3, 1, 1, 2, 2, 1, 5, 1, 2, 6, 1, 1, 5, 3, 1, 3, 1]","[1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 4, 1, 1, 1, 2, 1, 2, 4, 1, 1, 5, 5]",2.3333333333333335,1.8928571428571428,no strikeout streak,5,
Edward Olivares,olivaed02,"[1, 3, 2, 1, 9, 1, 2, 1, 3, 1, 3, 7, 1, 3, 1, 1, 1, 2, 4, 1, 1, 4, 5, 4]","[1, 2, 1, 2, 1, 2, 1, 4, 2, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1]",2.5833333333333335,1.56,dry streak,1,"[6, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1]","[2, 1, 1, 2, 2, 2, 2, 3, 1, 1, 2, 2, 3, 2, 1, 2, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2]",1.6333333333333333,1.6774193548387097,no strikeout streak,2,
Matt Thaiss,thaisma01,"[1, 2, 1, 1, 2, 2, 3, 3, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 2, 1]","[6, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 2, 2, 4, 1, 1, 2, 1, 2, 3, 1, 4, 2, 5, 3, 2]",1.6,2.1153846153846154,dry streak,2,"[4, 1, 1, 1, 1, 4, 3, 7, 1, 3, 2, 2, 1, 2, 3, 15, 2, 1, 2, 6]","[1, 3, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 1, 1, 2, 1]",3.1,1.65,strikeout streak,6,
Yordan Alvarez,alvaryo01,"[6, 1, 1, 3, 1, 5, 13, 4, 3, 2, 1, 1, 8, 2, 1, 1, 4, 3, 5, 2, 5, 5, 4]","[1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3]",3.5217391304347827,1.2727272727272727,hit streak,4,"[5, 1, 1, 2, 2, 4, 7, 2, 2, 1, 8, 5, 1, 1, 6, 2, 2, 3, 1, 2, 2, 1, 1, 2]","[1, 1, 1, 1, 1, 1, 4, 1, 2, 2, 1, 2, 1, 3, 1, 4, 6, 4, 4, 1, 1, 1, 1]",2.6666666666666665,1.9565217391304348,strikeout streak,2,
Alex Verdugo,verdual01,"[5, 3, 2, 5, 2, 4, 5, 1, 1, 1, 6, 1, 2, 1, 1, 13, 2, 1, 2, 1, 1, 6, 1, 2, 1, 4, 1, 4, 1, 2, 4, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 5, 1, 1, 1, 1, 2, 1, 2, 1, 1, 5, 2]",2.75,1.53125,dry streak,2,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 3, 1, 1, 1, 1, 4, 1, 9, 4, 2, 1, 1, 3, 1, 1, 2, 1, 5, 1, 1]","[1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 3, 4, 3, 4, 3, 1, 2, 1, 1, 2, 1, 1, 1, 2, 5, 3, 1]",1.7692307692307692,1.7435897435897436,strikeout streak,1,
Freddie Freeman,freemfr01,"[1, 3, 5, 4, 1, 4, 6, 1, 20, 1, 6, 6, 6, 7, 2, 7, 4, 7, 1, 6, 2, 4, 1, 6, 3, 3]","[1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 1, 1]",4.5,1.4230769230769231,dry streak,1,"[3, 1, 2, 2, 1, 3, 1, 3, 6, 1, 1, 1, 2, 4, 3, 1, 3, 1, 1, 4, 1, 2, 3, 5, 2, 3, 1, 2, 2, 1, 2, 5, 2, 5, 1, 4, 2, 1]","[3, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1, 3, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 4, 1, 2, 5, 2, 2, 2, 1, 1]",2.3157894736842106,1.736842105263158,no strikeout streak,1,
